Date,Tile,Tile Latitude,Tile Longitude,ERAB Setup Success/ERAB Setup Success Count (#),ERAB Setup Success/ERAB Setup Success Rate (%),ERAB Setup Success/ERAB Start Count (#)
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,9304,99.97,9307
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,3451,99.74,3460
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,9039,99.97,9042
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,11891,99.89,11904
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,9503,99.87,9515
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,7317,99.95,7321
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,2320,99.91,2322
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,3546,99.75,3555
2026/06/03 - 2026/06/04,'5876452803262022407',19.07554,72.89012,6030,99.98,6031
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,3359,99.97,3360
2026/06/10 - 2026/06/11,'5873040253140234351',19.0967,72.85136,5125,99.75,5138
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,4868,99.88,4874
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,4626,99.78,4636
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,6611,99.89,6618
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,11450,99.86,11466
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,2018,99.8,2022
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,10227,99.74,10254
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,5514,99.96,5516
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,2903,99.97,2904
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,2122,99.95,2123
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,4710,99.79,4720
