Date,Tile,Tile Latitude,Tile Longitude,RRC Setup Success/RRC Setup Success Count (#),RRC Setup Success/RRC Setup Success Rate(%),RRC Setup Success/RRC Start Count (#)
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,2180,99.86,2183
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,1551,99.87,1553
2026/05/27 - 2026/05/28,'5861481443250368354',19.05337,72.80125,7316,99.92,7322
2026/05/27 - 2026/05/28,'5865867791705633753',19.03266,72.8554,8446,99.96,8449
2026/06/10 - 2026/06/11,'5864057466923164664',19.03604,72.86485,6546,99.85,6556
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,2700,99.89,2703
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,8393,99.95,8397
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,1745,99.89,1747
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,3620,99.92,3623
2026/06/24 - 2026/06/25,'5869042986827619702',19.11633,72.82108,1524,99.87,1526
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,2696,99.89,2699
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,1931,99.9,1933
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,5211,99.96,5213
2026/06/24 - 2026/06/25,'5836034034991993802',19.02056,72.83955,2126,99.95,2127
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,1622,99.94,1623
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,1938,99.9,1940
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,6292,99.89,6299
2026/06/17 - 2026/06/18,'5836034034991993802',19.02056,72.83955,6942,99.99,6943
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,3542,99.86,3547
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,7848,99.86,7859
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,4140,99.93,4143
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,8355,99.89,8364
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,3258,100.0,3258
2026/06/17 - 2026/06/18,'5866642117629150172',19.0932,72.84335,6486,99.88,6494
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,8322,99.93,8328
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,6278,99.9,6284
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,7297,99.95,7301
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,8727,99.9,8736
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,3246,99.88,3250
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,5699,100.0,5699
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,7981,99.9,7989
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,7518,99.96,7521
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,5401,99.94,5404
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,6847,99.97,6849
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,4979,99.98,4980
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,5645,99.86,5653
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,8237,99.87,8248
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,7396,99.93,7401
