Date,Tile,Tile Latitude,Tile Longitude,VoLTE Setup Failure/VoLTE Setup Failure (#),VoLTE Setup Failure/VoLTE Setup Failure Rate (%),VoLTE Setup Failure/Weighted VoLTE Setup Failure,VoLTE Setup Failure/VoLTE Start Failure Count (#)
2026/06/03 - 2026/06/04,'5861481443250368354',19.05337,72.80125,117,7.55,7.09,1549
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,0,0.0,0.0,15
2026/06/03 - 2026/06/04,'5847962294469648007',19.02479,72.8933,697,33.19,31.68,2100
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,49,15.61,11.84,314
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,4,5.41,2.3,74
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,0,0.0,0.0,1
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,17,15.6,8.14,109
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,1,100.0,0.99,1
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,4,5.41,2.3,74
2026/06/10 - 2026/06/11,'5830295924558305991',19.03886,72.8347,10,1.5,1.3,667
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,3,0.96,0.73,314
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,1,50.0,0.98,2
2026/06/03 - 2026/06/04,'5865867791705633753',19.03266,72.8554,0,0.0,0.0,1
2026/06/24 - 2026/06/25,'5833424509250876965',19.03926,72.88412,286,18.46,17.34,1549
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,0,0.0,0.0,1
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,356,16.95,16.18,2100
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,2,100.0,1.96,2
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,3,100.0,2.91,3
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,21,19.27,10.05,109
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,9,3.46,2.5,260
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,0,0.0,0.0,1
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,2,6.25,1.52,32
2026/06/03 - 2026/06/04,'5857090836881594646',19.03647,72.87539,75,4.84,4.55,1549
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,4,5.41,2.3,74
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,1,6.67,0.87,15
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,67,4.33,4.07,1549
2026/06/10 - 2026/06/11,'5817559949759623258',19.08091,72.87173,16,6.15,4.44,260
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,81,12.14,10.56,667
