Date,Tile,Tile Latitude,Tile Longitude,SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Failure (#),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Failure Rate (%),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Weighted Failure,SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Success (#),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Success Rate (%),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Attempt (#),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Interruption Time (ms)
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,143,97.95,140.07,3,2.05,146,
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,4,4.49,0.18,85,95.51,89,
2026/06/03 - 2026/06/04,'5865867791705633753',19.03266,72.8554,115,98.29,113.03,2,1.71,117,
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,17,4.25,0.72,383,95.75,400,
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,0,0.0,0.0,91,100.0,91,
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,89,100.0,89.0,0,0.0,89,
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,1,0.54,0.01,184,99.46,185,
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,17,4.25,0.72,383,95.75,400,
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,4,5.19,0.21,73,94.81,77,
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,83,97.65,81.05,2,2.35,85,
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,3,3.9,0.12,74,96.1,77,
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,100,98.04,98.04,2,1.96,102,
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,77,100.0,77.0,0,0.0,77,
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,4,4.71,0.19,81,95.29,85,
