Date,Tile,Tile Latitude,Tile Longitude,RRC Drop/RRC Drop Call Count (#),RRC Drop/RRC Drop Call Rate (%),RRC Drop/Weighted RRC Drop Call,RRC Drop/RRC Call End Count (#)
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,4169,5.27,219.78,79083
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,1941,6.09,118.16,31885
2026/05/27 - 2026/05/28,'5865867791705633753',19.03266,72.8554,2598,3.75,97.31,69359
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,12383,31.95,3956.51,38756
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,10264,43.4,4454.16,23652
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,33806,40.27,13614.54,83943
2026/06/03 - 2026/06/04,'5857090836881594646',19.03647,72.87539,33165,35.74,11851.66,92807
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,21421,24.72,5295.73,86647
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,7471,26.33,1967.36,28371
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,21178,43.75,9266.11,48403
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,13034,19.22,2505.31,67810
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,2226,5.73,127.55,38848
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,22514,29.4,6620.09,76567
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,1957,6.91,135.15,28337
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,21525,28.5,6134.24,75531
2026/06/24 - 2026/06/25,'5836034034991993802',19.02056,72.83955,19076,22.42,4277.43,85073
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,2266,30.65,694.64,7392
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,12860,32.29,4152.55,39826
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,8567,10.82,926.6,79207
