Date,Tile,Tile Latitude,Tile Longitude,VoLTE Drop/VoLTE Drop Count (#),VoLTE Drop/VoLTE Drop Rate (%),VoLTE Drop/Weighted VoLTE Drop,VoLTE Drop/VoLTE Drop End Count (#)
2026/06/10 - 2026/06/11,'5864057466923164664',19.03604,72.86485,1,100.0,0.99,1
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,316,26.33,24.3,1200
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,224,9.33,8.96,2400
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,0,0.0,0.0,41
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,140,5.83,5.6,2400
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,0,0.0,0.0,16
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,1,2.44,0.71,41
2026/06/17 - 2026/06/18,'5857090836881594646',19.03647,72.87539,1,50.0,0.98,2
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,1,100.0,0.99,1
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,0,0.0,0.0,1
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,0,0.0,0.0,1
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,8,8.08,4.02,99
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,67,10.04,8.73,667
2026/06/10 - 2026/06/11,'5833424509250876965',19.03926,72.88412,1,0.74,0.43,135
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,7,14.58,4.73,48
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,1,100.0,0.99,1
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,10,20.83,6.76,48
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,1,100.0,0.99,1
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,1,100.0,0.99,1
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,2,12.5,1.72,16
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,15,15.15,7.54,99
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,1,100.0,0.99,1
2026/06/10 - 2026/06/11,'5873040253140234351',19.0967,72.85136,1,12.5,0.93,8
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,0,0.0,0.0,1
2026/06/10 - 2026/06/11,'5853220087925439651',19.08515,72.82525,0,0.0,0.0,2
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,12,25.0,8.11,48
