Date,Tile,Tile Latitude,Tile Longitude,CSFB Analysis/Avg.CSFB Call Setup Time (ms),CSFB Analysis/Max.CSFB Call Setup Time (ms),CSFB Analysis/CSFB Attempt Count (#),CSFB Analysis/CSFB Success Count (#),CSFB Analysis/CSFB Failure Count (#),CSFB Analysis/CSFB Success Rate (%),CSFB Analysis/CSFB Failure Rate (%)
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,88,3843,400,399,1,99.75,0.25
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,128,2269,709,709,0,100.0,0.0
2026/06/10 - 2026/06/11,'5864057466923164664',19.03604,72.86485,68,1617,1259,1253,6,99.52,0.48
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,94,8837,146,146,0,100.0,0.0
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,127,9119,636,633,3,99.53,0.47
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,77,9561,1259,1259,0,100.0,0.0
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,59,1361,627,627,0,100.0,0.0
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,110,3194,1076,1073,3,99.72,0.28
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,118,2462,400,400,0,100.0,0.0
2026/06/17 - 2026/06/18,'5866642117629150172',19.0932,72.84335,91,839,709,708,1,99.86,0.14
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,148,4176,1076,1071,5,99.54,0.46
2026/06/24 - 2026/06/25,'5869042986827619702',19.11633,72.82108,84,8243,500,500,0,100.0,0.0
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,82,1506,77,77,0,100.0,0.0
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,72,4682,924,924,0,100.0,0.0
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,78,8376,540,540,0,100.0,0.0
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,76,7401,91,91,0,100.0,0.0
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,112,4948,276,275,1,99.64,0.36
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,140,3728,100,100,0,100.0,0.0
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,65,4917,1076,1076,0,100.0,0.0
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,119,9273,1259,1259,0,100.0,0.0
2026/06/10 - 2026/06/11,'5833424509250876965',19.03926,72.88412,80,3728,636,636,0,100.0,0.0
2026/06/10 - 2026/06/11,'5853220087925439651',19.08515,72.82525,117,1689,813,809,4,99.51,0.49
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,118,8569,91,91,0,100.0,0.0
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,103,5035,100,100,0,100.0,0.0
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,74,5907,400,400,0,100.0,0.0
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,48,5979,636,635,1,99.84,0.16
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,100,5142,185,185,0,100.0,0.0
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,132,8556,492,492,0,100.0,0.0
2026/06/03 - 2026/06/04,'5865867791705633753',19.03266,72.8554,148,2488,540,538,2,99.63,0.37
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,101,6643,540,540,0,100.0,0.0
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,148,4092,697,697,0,100.0,0.0
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,106,1689,77,77,0,100.0,0.0
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,120,1932,807,807,0,100.0,0.0
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,141,5658,807,805,2,99.75,0.25
2026/06/03 - 2026/06/04,'5861481443250368354',19.05337,72.80125,131,9115,91,91,0,100.0,0.0
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,83,1495,813,813,0,100.0,0.0
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,148,9274,924,923,1,99.89,0.11
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,152,4623,100,100,0,100.0,0.0
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,111,1426,540,540,0,100.0,0.0
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,56,2956,652,652,0,100.0,0.0
2026/06/17 - 2026/06/18,'5846635575321284606',19.03472,72.8676,155,4751,77,76,1,98.7,1.3
2026/05/27 - 2026/05/28,'5865867791705633753',19.03266,72.8554,124,2066,146,146,0,100.0,0.0
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,138,1431,697,697,0,100.0,0.0
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,150,8733,574,574,0,100.0,0.0
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,73,3959,185,184,1,99.46,0.54
2026/06/10 - 2026/06/11,'5817559949759623258',19.08091,72.87173,80,731,500,500,0,100.0,0.0
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,128,9568,697,695,2,99.71,0.29
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,53,2313,1259,1259,0,100.0,0.0
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,106,8746,627,625,2,99.68,0.32
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,115,358,185,185,0,100.0,0.0
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,122,6821,709,705,4,99.44,0.56
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,100,6382,100,100,0,100.0,0.0
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,119,9428,697,694,3,99.57,0.43
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,151,9187,517,517,0,100.0,0.0
2026/06/17 - 2026/06/18,'5857090836881594646',19.03647,72.87539,140,8131,77,77,0,100.0,0.0
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,52,7304,1206,1206,0,100.0,0.0
2026/06/03 - 2026/06/04,'5876452803262022407',19.07554,72.89012,79,9100,146,146,0,100.0,0.0
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,116,498,1076,1073,3,99.72,0.28
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,54,8062,1170,1170,0,100.0,0.0
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,60,6423,500,498,2,99.6,0.4
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,96,6936,517,517,0,100.0,0.0
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,127,6879,1076,1076,0,100.0,0.0
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,160,6518,492,492,0,100.0,0.0
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,68,4008,627,625,2,99.68,0.32
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,84,6000,697,694,3,99.57,0.43
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,56,5701,1170,1170,0,100.0,0.0
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,93,4980,652,652,0,100.0,0.0
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,56,8814,697,695,2,99.71,0.29
2026/06/10 - 2026/06/11,'5830295924558305991',19.03886,72.8347,72,3565,636,635,1,99.84,0.16
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,129,8816,492,492,0,100.0,0.0
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,87,5951,77,77,0,100.0,0.0
