Date,Tile,Tile Latitude,Tile Longitude,Data Traffic/Total Traffic Volume (MB),Data Traffic/DL Traffic Volume (MB),Data Traffic/UL Traffic Volume (MB),Data Traffic/Avg. DL Throughput (Kbps),Data Traffic/Avg. UL Throughput (Kbps),Data Traffic/Max. DL Throughput (Kbps),Data Traffic/Max. UL Throughput (Kbps),DL in mbps,UL in mbps
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,633483.37,583267.44,50215.93,3802.67,2426.95,455276.2,30051.84,3.713545,2.370068
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,382722.52,352665.16,30057.36,22480.37,1985.21,2959849.99,102905.98,21.953486,1.938682
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,404135.77,375313.89,28821.88,5709.17,1214.07,715213.05,18932.74,5.575361,1.185615
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,635188.96,583272.15,51916.81,5628.98,1983.53,161876.7,81847.92,5.497051,1.937041
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,333026.91,305118.28,27908.63,26925.18,944.71,2419491.88,22353.91,26.294121,0.922568
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,426593.22,390121.13,36472.09,24443.65,1052.9,2660237.86,40884.23,23.870752,1.028223
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,872707.77,777797.79,94909.98,16896.23,1599.0,2018793.57,91058.96,16.500225,1.561523
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,664992.13,591612.39,73379.74,14205.49,1585.32,339935.75,39844.72,13.872549,1.548164
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,717607.23,640113.97,77493.26,14320.01,823.19,379426.61,38643.02,13.984385,0.803896
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,865537.67,772746.21,92791.46,23062.35,2207.09,2270545.36,83172.27,22.521826,2.155361
2026/06/24 - 2026/06/25,'5869042986827619702',19.11633,72.82108,324896.97,291350.37,33546.6,18980.49,1885.67,1216795.67,41128.19,18.535635,1.841475
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,730480.8,664709.55,65771.25,23873.77,2291.15,2782209.9,55615.88,23.314229,2.237451
2026/06/10 - 2026/06/11,'5885590811560109431',19.08212,72.86508,714009.31,632007.96,82001.35,2975.42,1243.38,269552.12,59198.88,2.905684,1.214238
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,689008.92,626009.85,62999.07,18870.96,1537.76,1179706.57,86565.92,18.428672,1.501719
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,459354.49,423754.77,35599.72,6848.85,754.19,396081.88,14504.8,6.68833,0.736514
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,276714.55,251727.49,24987.06,24608.99,1900.91,805146.37,75625.76,24.032217,1.856357
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,155460.94,140498.37,14962.57,20807.88,2395.93,649308.67,30199.24,20.320195,2.339775
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,739125.38,674424.4,64700.98,9906.86,1049.97,1108894.25,12125.98,9.674668,1.025361
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,266401.08,241449.95,24951.13,6240.5,991.41,217445.7,26497.94,6.094238,0.968174
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,358563.27,325216.06,33347.21,17455.32,2588.29,845465.83,86999.25,17.046211,2.527627
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,523320.49,482239.49,41081.0,25480.6,1020.62,3092297.49,14155.09,24.883398,0.996699
2026/06/24 - 2026/06/25,'5833424509250876965',19.03926,72.88412,96742.63,87068.06,9674.57,5555.58,1277.24,294363.41,62549.94,5.425371,1.247305
