Date,Tile,Tile Latitude,Tile Longitude,ERAB Setup Success/ERAB Setup Success Count (#),ERAB Setup Success/ERAB Setup Success Rate (%),ERAB Setup Success/ERAB Start Count (#)
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,4860,99.45,4887
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,2979,99.43,2996
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,7151,99.58,7181
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,9383,100.0,9383
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,6944,99.99,6945
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,4916,99.92,4920
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,7377,99.5,7414
2026/06/24 - 2026/06/25,'5833424509250876965',19.03926,72.88412,9809,99.74,9835
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,6342,99.94,6346
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,4920,99.92,4924
2026/06/03 - 2026/06/04,'5876452803262022407',19.07554,72.89012,8322,99.7,8347
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,7015,99.53,7048
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,11629,99.79,11654
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,4526,99.65,4542
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,9066,99.57,9105
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,6531,99.95,6534
2026/06/03 - 2026/06/04,'5836034034991993802',19.02056,72.83955,10663,99.91,10673
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,9806,99.48,9857
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,6473,99.54,6503
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,4073,99.78,4082
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,3861,99.95,3863
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,2003,99.6,2011
2026/06/17 - 2026/06/18,'5857090836881594646',19.03647,72.87539,3021,100.0,3021
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,7141,99.64,7167
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,9685,99.61,9723
2026/06/10 - 2026/06/11,'5873040253140234351',19.0967,72.85136,8994,99.88,9005
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,11621,99.54,11675
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,8678,99.82,8694
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,2971,99.9,2974
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,3753,99.97,3754
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,11108,99.64,11148
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,6469,99.78,6483
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,11167,99.53,11220
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,10349,99.83,10367
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,7500,99.69,7523
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,6504,100.0,6504
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,2937,99.53,2951
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,10554,99.73,10583
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,3659,99.84,3665
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,3310,99.79,3317
2026/06/10 - 2026/06/11,'5830295924558305991',19.03886,72.8347,5974,99.57,6000
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,3519,99.63,3532
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,6876,99.78,6891
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,9965,99.95,9970
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,7211,99.85,7222
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,6474,99.55,6503
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,2659,99.77,2665
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,10528,99.91,10538
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,8350,99.8,8367
2026/06/24 - 2026/06/25,'5869042986827619702',19.11633,72.82108,9210,99.9,9219
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,7129,99.48,7166
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,2513,99.72,2520
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,8731,99.93,8737
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,8428,99.56,8465
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,2528,99.96,2529
2026/06/03 - 2026/06/04,'5861481443250368354',19.05337,72.80125,11093,99.46,11153
2026/06/03 - 2026/06/04,'5857090836881594646',19.03647,72.87539,10963,99.68,10998
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,7193,99.45,7233
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,4702,99.58,4722
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,3944,99.6,3960
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,6039,99.59,6064
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,2199,99.86,2202
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,4631,99.66,4647
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,10982,99.43,11045
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,4946,99.9,4951
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,3991,99.8,3999
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,2684,100.0,2684
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,5760,99.91,5765
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,2590,99.42,2605
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,4657,99.98,4658
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,11056,99.44,11118
2026/06/10 - 2026/06/11,'5885590811560109431',19.08212,72.86508,4317,99.7,4330
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,5520,99.73,5535
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,9395,99.78,9416
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,6949,99.68,6971
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,6097,99.58,6123
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,5548,99.41,5581
2026/05/27 - 2026/05/28,'5861481443250368354',19.05337,72.80125,10156,99.89,10167
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,3517,99.77,3525
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,5151,99.65,5169
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,8784,99.51,8827
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,2328,99.61,2337
2026/05/27 - 2026/05/28,'5865867791705633753',19.03266,72.8554,7877,99.52,7915
2026/06/03 - 2026/06/04,'5865867791705633753',19.03266,72.8554,7678,99.61,7708
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,5939,99.63,5961
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,5419,99.76,5432
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,11614,99.95,11620
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,5369,99.78,5381
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,10260,99.75,10286
2026/06/24 - 2026/06/25,'5836034034991993802',19.02056,72.83955,6970,99.67,6993
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,5662,99.72,5678
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,5674,99.63,5695
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,2918,99.69,2927
