Date,Tile,Tile Latitude,Tile Longitude,RRC Setup Success/RRC Setup Success Count (#),RRC Setup Success/RRC Setup Success Rate(%),RRC Setup Success/RRC Start Count (#)
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,1804,99.83,1807
2026/06/10 - 2026/06/11,'5885590811560109431',19.08212,72.86508,8990,99.91,8998
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,8834,99.8,8852
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,8534,99.8,8551
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,5578,99.98,5579
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,5439,99.71,5455
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,3572,99.8,3579
2026/06/24 - 2026/06/25,'5836034034991993802',19.02056,72.83955,8204,99.88,8214
2026/06/03 - 2026/06/04,'5847962294469648007',19.02479,72.8933,8075,99.84,8088
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,3191,99.87,3195
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,6420,99.84,6430
2026/06/03 - 2026/06/04,'5836034034991993802',19.02056,72.83955,5144,99.92,5148
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,4022,99.93,4025
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,4450,99.82,4458
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,6692,99.9,6699
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,4207,99.91,4211
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,6985,99.74,7003
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,5304,99.87,5311
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,8053,99.93,8059
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,7568,99.88,7577
2026/06/24 - 2026/06/25,'5869042986827619702',19.11633,72.82108,2016,99.85,2019
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,6792,99.71,6812
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,7186,99.92,7192
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,4715,99.7,4729
2026/06/10 - 2026/06/11,'5864057466923164664',19.03604,72.86485,5272,99.74,5286
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,4587,99.83,4595
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,8458,99.99,8459
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,2578,99.77,2584
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,8290,99.82,8305
2026/06/10 - 2026/06/11,'5833424509250876965',19.03926,72.88412,1702,99.94,1703
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,6813,99.74,6831
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,4227,99.69,4240
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,7461,99.77,7478
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,7423,99.92,7429
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,7472,99.97,7474
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,5851,99.76,5865
2026/06/03 - 2026/06/04,'5861481443250368354',19.05337,72.80125,5242,99.96,5244
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,2544,99.92,2546
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,7897,99.9,7905
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,5481,99.98,5482
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,6896,99.9,6903
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,5365,99.78,5377
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,6945,99.99,6946
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,3277,99.76,3285
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,8540,99.82,8555
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,7356,99.81,7370
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,7153,99.83,7165
2026/06/17 - 2026/06/18,'5866642117629150172',19.0932,72.84335,2670,99.96,2671
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,3244,99.91,3247
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,3777,99.87,3782
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,3508,99.89,3512
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,3439,99.88,3443
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,5454,99.78,5466
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,3631,99.84,3637
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,6772,99.91,6778
2026/05/27 - 2026/05/28,'5865867791705633753',19.03266,72.8554,2161,99.86,2164
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,8103,99.82,8118
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,6802,99.9,6809
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,5065,99.82,5074
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,2437,99.8,2442
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,6363,99.81,6375
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,6325,99.95,6328
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,2746,99.93,2748
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,7152,99.94,7156
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,1888,99.95,1889
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,5045,99.78,5056
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,2057,99.85,2060
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,2933,99.86,2937
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,6728,99.7,6748
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,3160,99.72,3169
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,6165,99.71,6183
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,8764,99.8,8782
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,4036,99.93,4039
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,1740,100.0,1740
2026/06/10 - 2026/06/11,'5830295924558305991',19.03886,72.8347,5896,99.92,5901
2026/06/10 - 2026/06/11,'5873040253140234351',19.0967,72.85136,4955,99.86,4962
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,3825,100.0,3825
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,5717,99.88,5724
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,3270,99.73,3279
2026/06/17 - 2026/06/18,'5857090836881594646',19.03647,72.87539,4568,99.83,4576
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,4907,100.0,4907
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,1807,99.72,1812
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,4981,99.74,4994
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,8217,99.84,8230
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,7249,99.92,7255
2026/06/17 - 2026/06/18,'5836034034991993802',19.02056,72.83955,3191,99.84,3196
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,2240,100.0,2240
2026/06/10 - 2026/06/11,'5853220087925439651',19.08515,72.82525,7971,99.97,7973
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,2053,99.71,2059
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,7411,99.7,7433
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,4827,99.77,4838
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,8859,99.8,8877
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,4003,99.95,4005
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,5184,99.87,5191
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,8900,99.9,8909
