Date,Tile,Tile Latitude,Tile Longitude,VoLTE Setup Failure/VoLTE Setup Failure (#),VoLTE Setup Failure/VoLTE Setup Failure Rate (%),VoLTE Setup Failure/Weighted VoLTE Setup Failure,VoLTE Setup Failure/VoLTE Start Failure Count (#)
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,2,25.0,1.85,8
2026/06/10 - 2026/06/11,'5833424509250876965',19.03926,72.88412,33,33.33,16.58,99
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,3,100.0,2.91,3
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,574,27.33,26.09,2100
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,3,9.38,2.27,32
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,2,100.0,1.96,2
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,2,13.33,1.74,15
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,85,12.74,11.08,667
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,1,0.06,0.06,1549
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,1,100.0,0.99,1
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,3,100.0,2.91,3
2026/06/24 - 2026/06/25,'5836034034991993802',19.02056,72.83955,45,41.28,21.53,109
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,27,8.6,6.52,314
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,5,5.05,2.51,99
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,1,2.13,0.68,47
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,1,100.0,0.99,1
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,0,0.0,0.0,8
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,33,10.51,7.97,314
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,1,33.33,0.97,3
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,0,0.0,0.0,260
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,1,100.0,0.99,1
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,0,0.0,0.0,8
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,1,100.0,0.99,1
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,16,21.62,9.19,74
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,199,12.85,12.07,1549
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,1,6.67,0.87,15
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,3,100.0,2.91,3
2026/06/10 - 2026/06/11,'5853220087925439651',19.08515,72.82525,21,44.68,14.29,47
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,3,100.0,2.91,3
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,2,100.0,1.96,2
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,235,15.17,14.25,1549
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,230,34.48,29.98,667
2026/06/10 - 2026/06/11,'5830295924558305991',19.03886,72.8347,31,41.89,17.82,74
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,1,100.0,0.99,1
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,16,6.15,4.44,260
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,1,100.0,0.99,1
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,9,9.09,4.52,99
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,45,6.75,5.87,667
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,0,0.0,0.0,260
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,1,100.0,0.99,1
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,86,12.89,11.21,667
2026/06/24 - 2026/06/25,'5833424509250876965',19.03926,72.88412,5,5.05,2.51,99
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,3,100.0,2.91,3
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,1,33.33,0.97,3
2026/06/10 - 2026/06/11,'5817559949759623258',19.08091,72.87173,88,28.03,21.26,314
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,1,12.5,0.93,8
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,1,100.0,0.99,1
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,2,100.0,1.96,2
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,24,32.43,13.79,74
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,2,100.0,1.96,2
2026/06/10 - 2026/06/11,'5864057466923164664',19.03604,72.86485,21,6.69,5.07,314
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,20,18.35,9.57,109
2026/06/17 - 2026/06/18,'5857090836881594646',19.03647,72.87539,40,40.4,20.1,99
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,74,3.52,3.36,2100
2026/06/03 - 2026/06/04,'5865867791705633753',19.03266,72.8554,3,9.38,2.27,32
2026/06/17 - 2026/06/18,'5846635575321284606',19.03472,72.8676,0,0.0,0.0,15
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,1,12.5,0.93,8
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,1,1.01,0.5,99
2026/06/17 - 2026/06/18,'5866642117629150172',19.0932,72.84335,1,33.33,0.97,3
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,8,8.08,4.02,99
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,1,100.0,0.99,1
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,10,3.18,2.41,314
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,21,28.38,12.07,74
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,1,12.5,0.93,8
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,1,33.33,0.97,3
2026/06/03 - 2026/06/04,'5847962294469648007',19.02479,72.8933,1,2.13,0.68,47
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,420,20.0,19.09,2100
2026/05/27 - 2026/05/28,'5861481443250368354',19.05337,72.80125,1,100.0,0.99,1
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,1,100.0,0.99,1
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,128,40.76,30.91,314
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,1,100.0,0.99,1
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,4,12.5,3.03,32
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,2,100.0,1.96,2
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,10,10.1,5.02,99
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,1,6.67,0.87,15
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,7,7.07,3.52,99
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,2,100.0,1.96,2
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,12,11.01,5.74,109
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,78,11.69,10.17,667
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,41,6.15,5.35,667
2026/06/03 - 2026/06/04,'5836034034991993802',19.02056,72.83955,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,91,13.64,11.86,667
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,1,6.67,0.87,15
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,1,100.0,0.99,1
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,316,20.4,19.16,1549
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,0,0.0,0.0,8
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,3,6.38,2.04,47
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,1,100.0,0.99,1
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,1,33.33,0.97,3
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,8,17.02,5.44,47
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,1,6.67,0.87,15
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,0,0.0,0.0,47
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,76,24.2,18.35,314
