Date,Tile,Tile Latitude,Tile Longitude,SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Failure (#),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Failure Rate (%),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Weighted Failure,SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Success (#),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Success Rate (%),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Attempt (#),SRVCC Handover-4G to 2G/SRVCC HO-4G to 2G Interruption Time (ms)
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,4,2.74,0.11,142,97.26,146,
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,85,100.0,85.0,0,0.0,85,
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,138,99.28,137.01,1,0.72,139,
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,6,4.0,0.24,144,96.0,150,
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,85,100.0,85.0,0,0.0,85,
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,148,98.67,146.03,2,1.33,150,
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,2,1.37,0.03,144,98.63,146,
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,2,2.35,0.05,83,97.65,85,
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,183,98.92,181.02,2,1.08,185,
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,85,100.0,85.0,0,0.0,85,
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,6,3.24,0.19,179,96.76,185,
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,665,95.96,638.13,28,4.04,693,
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,2,1.96,0.04,100,98.04,102,
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,4,4.4,0.18,87,95.6,91,
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,1,0.67,0.01,149,99.33,150,
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,12,4.35,0.52,264,95.65,276,
2026/06/03 - 2026/06/04,'5861481443250368354',19.05337,72.80125,9,3.31,0.3,263,96.69,272,
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,264,95.65,252.52,12,4.35,276,
2026/06/17 - 2026/06/18,'5866642117629150172',19.0932,72.84335,392,98.0,384.16,8,2.0,400,
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,149,99.33,148.0,1,0.67,150,
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,3,3.3,0.1,88,96.7,91,
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,83,97.65,81.05,2,2.35,85,
2026/06/17 - 2026/06/18,'5857090836881594646',19.03647,72.87539,0,0.0,0.0,89,100.0,89,
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,2,0.72,0.01,274,99.28,276,
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,0,0.0,0.0,139,100.0,139,
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,147,98.0,144.06,3,2.0,150,
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,266,96.38,256.37,10,3.62,276,
2026/06/17 - 2026/06/18,'5836034034991993802',19.02056,72.83955,146,97.33,142.1,4,2.67,150,
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,85,100.0,85.0,0,0.0,85,
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,2,2.6,0.05,75,97.4,77,
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,85,95.51,81.18,4,4.49,89,
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,88,96.7,85.1,3,3.3,91,
2026/06/03 - 2026/06/04,'5836034034991993802',19.02056,72.83955,74,96.1,71.11,3,3.9,77,
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,84,98.82,83.01,1,1.18,85,
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,112,95.73,107.22,5,4.27,117,
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,7,4.79,0.34,139,95.21,146,
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,380,95.0,361.0,20,5.0,400,
2026/06/10 - 2026/06/11,'5817559949759623258',19.08091,72.87173,24,3.46,0.83,669,96.54,693,
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,6,3.24,0.19,179,96.76,185,
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,97,97.0,94.09,3,3.0,100,
2026/06/24 - 2026/06/25,'5836034034991993802',19.02056,72.83955,100,98.04,98.04,2,1.96,102,
2026/06/03 - 2026/06/04,'5876452803262022407',19.07554,72.89012,4,3.92,0.16,98,96.08,102,
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,81,95.29,77.18,4,4.71,85,
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,17,4.25,0.72,383,95.75,400,
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,74,96.1,71.11,3,3.9,77,
2026/06/10 - 2026/06/11,'5853220087925439651',19.08515,72.82525,96,96.0,92.16,4,4.0,100,
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,98,96.08,94.16,4,3.92,102,
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,88,98.88,87.01,1,1.12,89,
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,1,0.72,0.01,138,99.28,139,
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,271,98.19,266.09,5,1.81,276,
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,134,96.4,129.18,5,3.6,139,
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,85,95.51,81.18,4,4.49,89,
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,143,95.33,136.32,7,4.67,150,
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,75,97.4,73.05,2,2.6,77,
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,150,100.0,150.0,0,0.0,150,
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,2,2.6,0.05,75,97.4,77,
2026/05/27 - 2026/05/28,'5861481443250368354',19.05337,72.80125,7,1.01,0.07,686,98.99,693,
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,140,95.89,134.25,6,4.11,146,
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,113,96.58,109.14,4,3.42,117,
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,147,98.0,144.06,3,2.0,150,
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,88,98.88,87.01,1,1.12,89,
2026/06/24 - 2026/06/25,'5833424509250876965',19.03926,72.88412,5,4.9,0.24,97,95.1,102,
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,6,4.11,0.25,140,95.89,146,
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,144,98.63,142.03,2,1.37,146,
2026/06/10 - 2026/06/11,'5864057466923164664',19.03604,72.86485,95,95.0,90.25,5,5.0,100,
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,1,1.3,0.01,76,98.7,77,
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,4,2.88,0.12,135,97.12,139,
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,139,95.21,132.34,7,4.79,146,
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,4,2.16,0.09,181,97.84,185,
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,6,5.13,0.31,111,94.87,117,
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,3,3.9,0.12,74,96.1,77,
2026/06/24 - 2026/06/25,'5869042986827619702',19.11633,72.82108,88,96.7,85.1,3,3.3,91,
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,4,1.0,0.04,396,99.0,400,
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,184,99.46,183.01,1,0.54,185,
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,2,2.0,0.04,98,98.0,100,
2026/06/10 - 2026/06/11,'5873040253140234351',19.0967,72.85136,0,0.0,0.0,85,100.0,85,
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,381,95.25,362.9,19,4.75,400,
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,6,0.87,0.05,687,99.13,693,
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,141,96.58,136.18,5,3.42,146,
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,91,100.0,91.0,0,0.0,91,
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,1,0.54,0.01,184,99.46,185,
2026/06/17 - 2026/06/18,'5846635575321284606',19.03472,72.8676,1,1.1,0.01,90,98.9,91,
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,1,0.68,0.01,145,99.32,146,
2026/06/03 - 2026/06/04,'5857090836881594646',19.03647,72.87539,2,2.25,0.04,87,97.75,89,
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,3,2.0,0.06,147,98.0,150,
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,9,4.86,0.44,176,95.14,185,
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,3,3.53,0.11,82,96.47,85,
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,397,99.25,394.02,3,0.75,400,
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,5,3.33,0.17,145,96.67,150,
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,0,0.0,0.0,89,100.0,89,
