Date,Tile,Tile Latitude,Tile Longitude,RRC Drop/RRC Drop Call Count (#),RRC Drop/RRC Drop Call Rate (%),RRC Drop/Weighted RRC Drop Call,RRC Drop/RRC Call End Count (#)
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,4269,5.27,224.82,81063
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,4660,23.82,1109.81,19567
2026/06/10 - 2026/06/11,'5864057466923164664',19.03604,72.86485,6243,31.67,1977.32,19711
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,1133,10.42,118.05,10874
2026/06/10 - 2026/06/11,'5873040253140234351',19.0967,72.85136,3626,11.7,424.39,30981
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,2106,10.02,210.93,21027
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,16545,20.35,3366.71,81307
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,60814,66.29,40315.06,91736
2026/06/03 - 2026/06/04,'5836034034991993802',19.02056,72.83955,3104,8.05,249.87,38560
2026/06/24 - 2026/06/25,'5869042986827619702',19.11633,72.82108,6915,18.3,1265.54,37784
2026/06/17 - 2026/06/18,'5864057466923164664',19.03604,72.86485,2312,5.07,117.25,45588
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,1461,5.55,81.14,26308
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,11917,28.59,3406.94,41684
2026/06/03 - 2026/06/04,'5865867791705633753',19.03266,72.8554,3167,7.92,250.84,39985
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,11155,33.53,3740.35,33268
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,9292,40.88,3798.89,22728
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,20112,43.12,8673.03,46638
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,5765,7.47,430.48,77205
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,12715,33.94,4315.26,37465
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,5521,34.83,1922.88,15852
2026/06/17 - 2026/06/18,'5861481443250368354',19.05337,72.80125,26596,28.24,7509.95,94188
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,3575,14.89,532.17,24016
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,21082,53.06,11187.06,39729
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,388,19.24,74.64,2017
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,28933,64.5,18660.69,44860
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,17472,43.15,7539.04,40492
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,5862,15.55,911.61,37695
2026/05/27 - 2026/05/28,'5853220087925439651',19.08515,72.82525,2137,15.24,325.78,14018
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,11649,28.36,3303.77,41074
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,224,7.39,16.55,3032
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,14087,54.78,7717.34,25714
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,2762,27.87,769.64,9912
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,19647,68.69,13495.72,28602
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,9075,24.9,2259.97,36441
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,1067,15.39,164.26,6931
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,6714,14.61,980.63,45968
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,1353,6.18,83.68,21876
2026/05/27 - 2026/05/28,'5876225076320244883',19.06549,72.87708,59492,65.35,38879.71,91032
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,35867,56.8,20371.21,63150
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,18535,29.07,5388.54,63755
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,49634,59.12,29343.85,83954
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,7057,13.86,978.18,50912
2026/06/03 - 2026/06/04,'5873040253140234351',19.0967,72.85136,19281,50.19,9677.64,38414
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,9902,15.92,1576.41,62198
2026/06/17 - 2026/06/18,'5866642117629150172',19.0932,72.84335,26033,39.9,10387.9,65241
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,31401,62.98,19777.41,49856
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,24744,34.23,8469.57,72290
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,7798,11.08,863.69,70406
2026/06/17 - 2026/06/18,'5876452803262022407',19.07554,72.89012,3429,15.01,514.82,22839
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,1401,6.23,87.26,22494
2026/06/03 - 2026/06/04,'5847962294469648007',19.02479,72.8933,1624,22.92,372.14,7087
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,14471,17.39,2516.28,83222
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,9161,30.71,2813.78,29826
2026/06/10 - 2026/06/11,'5878529227354411196',19.03928,72.85253,20741,64.87,13455.18,31972
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,9606,27.8,2670.23,34557
2026/06/24 - 2026/06/25,'5833424509250876965',19.03926,72.88412,5906,6.6,389.9,89461
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,39207,46.65,18289.42,84048
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,4258,25.64,1091.61,16609
2026/06/10 - 2026/06/11,'5858814019546630566',19.07282,72.83433,5777,68.17,3937.9,8475
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,60969,65.75,40084.75,92734
2026/06/17 - 2026/06/18,'5839469466902639692',19.05354,72.83094,36699,60.46,22188.45,60699
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,41928,58.19,24396.42,72058
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,28524,36.56,10429.14,78014
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,30580,50.9,15564.34,60082
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,39553,61.0,24126.95,64842
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,3072,12.81,393.38,23990
