Date,Tile,Tile Latitude,Tile Longitude,VoLTE Drop/VoLTE Drop Count (#),VoLTE Drop/VoLTE Drop Rate (%),VoLTE Drop/Weighted VoLTE Drop,VoLTE Drop/VoLTE Drop End Count (#)
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,1,6.25,0.86,16
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,14,14.14,7.03,99
2026/06/17 - 2026/06/18,'5866642117629150172',19.0932,72.84335,4,25.0,3.45,16
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,2,100.0,1.96,2
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,203,8.46,8.12,2400
2026/06/24 - 2026/06/25,'5876225076320244883',19.06549,72.87708,12,29.27,8.51,41
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,4,8.33,2.7,48
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,2,1.48,0.85,135
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,35,11.04,8.39,317
2026/06/24 - 2026/06/25,'5825848359743857676',19.07329,72.80802,5,3.7,2.13,135
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,305,25.42,23.46,1200
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,638,26.58,25.52,2400
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,27,4.05,3.52,667
2026/06/03 - 2026/06/04,'5857090836881594646',19.03647,72.87539,39,22.81,14.39,171
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,25,14.62,9.23,171
2026/06/17 - 2026/06/18,'5817559949759623258',19.08091,72.87173,13,9.63,5.53,135
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,14,10.37,5.96,135
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,996,41.5,39.84,2400
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,3,2.22,1.28,135
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,22,16.3,9.36,135
2026/06/03 - 2026/06/04,'5830295924558305991',19.03886,72.8347,2,4.17,1.35,48
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,37,27.41,15.75,135
2026/06/24 - 2026/06/25,'5878529227354411196',19.03928,72.85253,1,100.0,0.99,1
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,14,14.14,7.03,99
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,37,5.55,4.83,667
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,36,3.0,2.77,1200
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,18,11.11,6.87,162
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,1,100.0,0.99,1
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,17,2.55,2.22,667
2026/06/03 - 2026/06/04,'5846635575321284606',19.03472,72.8676,1,50.0,0.98,2
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,2,100.0,1.96,2
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,3,1.85,1.14,162
2026/06/10 - 2026/06/11,'5876225076320244883',19.06549,72.87708,1,100.0,0.99,1
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,6,3.51,2.21,171
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,56,8.4,7.3,667
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,2,25.0,1.85,8
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,6,3.51,2.21,171
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,27,27.27,13.57,99
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5858814019546630566',19.07282,72.83433,0,0.0,0.0,8
2026/06/10 - 2026/06/11,'5830295924558305991',19.03886,72.8347,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5885590811560109431',19.08212,72.86508,2,100.0,1.96,2
2026/05/27 - 2026/05/28,'5861481443250368354',19.05337,72.80125,1,50.0,0.98,2
2026/06/03 - 2026/06/04,'5861481443250368354',19.05337,72.80125,1,50.0,0.98,2
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,1,50.0,0.98,2
2026/05/27 - 2026/05/28,'5865867791705633753',19.03266,72.8554,35,35.35,17.59,99
2026/06/10 - 2026/06/11,'5873040253140234351',19.0967,72.85136,53,7.95,6.91,667
2026/06/10 - 2026/06/11,'5853220087925439651',19.08515,72.82525,98,14.69,12.77,667
2026/06/03 - 2026/06/04,'5876225076320244883',19.06549,72.87708,11,6.79,4.2,162
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,1,100.0,0.99,1
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,1,2.08,0.67,48
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,23,3.45,3.0,667
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,33,2.75,2.54,1200
2026/06/03 - 2026/06/04,'5847962294469648007',19.02479,72.8933,2,100.0,1.96,2
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5836034034991993802',19.02056,72.83955,6,4.44,2.55,135
2026/06/17 - 2026/06/18,'5869042986827619702',19.11633,72.82108,1,0.32,0.24,317
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,14,14.14,7.03,99
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,41,41.41,20.6,99
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,1,50.0,0.98,2
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,414,34.5,31.85,1200
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,17,12.59,7.23,135
2026/05/27 - 2026/05/28,'5830295924558305991',19.03886,72.8347,1,100.0,0.99,1
2026/06/17 - 2026/06/18,'5876225076320244883',19.06549,72.87708,2,25.0,1.85,8
2026/06/17 - 2026/06/18,'5825848359743857676',19.07329,72.80802,1,100.0,0.99,1
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,11,22.92,7.43,48
2026/06/10 - 2026/06/11,'5864057466923164664',19.03604,72.86485,4,9.76,2.84,41
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,2,100.0,1.96,2
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,1,6.25,0.86,16
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,867,36.12,34.68,2400
2026/06/24 - 2026/06/25,'5858814019546630566',19.07282,72.83433,11,3.47,2.64,317
2026/06/17 - 2026/06/18,'5857090836881594646',19.03647,72.87539,45,27.78,17.18,162
2026/06/10 - 2026/06/11,'5817559949759623258',19.08091,72.87173,1,50.0,0.98,2
2026/05/27 - 2026/05/28,'5876452803262022407',19.07554,72.89012,1,50.0,0.98,2
