Date,Tile,Tile Latitude,Tile Longitude,CSFB Analysis/Avg.CSFB Call Setup Time (ms),CSFB Analysis/Max.CSFB Call Setup Time (ms),CSFB Analysis/CSFB Attempt Count (#),CSFB Analysis/CSFB Success Count (#),CSFB Analysis/CSFB Failure Count (#),CSFB Analysis/CSFB Success Rate (%),CSFB Analysis/CSFB Failure Rate (%)
2026/06/10 - 2026/06/11,'5817559949759623258',19.08091,72.87173,145,1452,540,536,4,99.26,0.74
2026/06/17 - 2026/06/18,'5866642117629150172',19.0932,72.84335,153,4997,1206,1200,6,99.5,0.5
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,172,1227,1206,1206,0,100.0,0.0
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,78,1529,500,498,2,99.6,0.4
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,171,1700,1076,1073,3,99.72,0.28
2026/06/17 - 2026/06/18,'5846635575321284606',19.03472,72.8676,97,10303,807,806,1,99.88,0.12
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,65,8793,91,91,0,100.0,0.0
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,119,4944,1259,1258,1,99.92,0.08
2026/06/03 - 2026/06/04,'5847962294469648007',19.02479,72.8933,147,9878,91,91,0,100.0,0.0
2026/06/10 - 2026/06/11,'5847962294469648007',19.02479,72.8933,75,1816,1259,1249,10,99.21,0.79
2026/06/10 - 2026/06/11,'5853220087925439651',19.08515,72.82525,60,3025,807,803,4,99.5,0.5
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,68,8556,627,627,0,100.0,0.0
2026/06/10 - 2026/06/11,'5861481443250368354',19.05337,72.80125,182,9999,77,77,0,100.0,0.0
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,183,2723,100,99,1,99.0,1.0
2026/06/24 - 2026/06/25,'5866642117629150172',19.0932,72.84335,113,11193,636,636,0,100.0,0.0
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,138,7831,652,650,2,99.69,0.31
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,170,6852,627,625,2,99.68,0.32
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,197,5545,100,99,1,99.0,1.0
2026/06/24 - 2026/06/25,'5869042986827619702',19.11633,72.82108,145,468,185,183,2,98.92,1.08
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,156,7134,697,694,3,99.57,0.43
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,87,7871,807,803,4,99.5,0.5
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,75,7416,540,529,11,97.96,2.04
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,155,6356,185,185,0,100.0,0.0
2026/06/24 - 2026/06/25,'5864057466923164664',19.03604,72.86485,196,8085,1170,1161,9,99.23,0.77
2026/06/03 - 2026/06/04,'5878529227354411196',19.03928,72.85253,129,6449,100,98,2,98.0,2.0
2026/06/03 - 2026/06/04,'5885590811560109431',19.08212,72.86508,195,11059,1206,1206,0,100.0,0.0
