Date,Tile,Tile Latitude,Tile Longitude,Data Traffic/Total Traffic Volume (MB),Data Traffic/DL Traffic Volume (MB),Data Traffic/UL Traffic Volume (MB),Data Traffic/Avg. DL Throughput (Kbps),Data Traffic/Avg. UL Throughput (Kbps),Data Traffic/Max. DL Throughput (Kbps),Data Traffic/Max. UL Throughput (Kbps),DL in mbps,UL in mbps
2026/05/27 - 2026/05/28,'5873040253140234351',19.0967,72.85136,230100.22,212906.78,17193.44,13653.08,879.33,539915.99,19572.71,13.333086,0.858721
2026/06/17 - 2026/06/18,'5853220087925439651',19.08515,72.82525,520541.52,484414.63,36126.89,19153.97,888.52,2646790.21,41601.14,18.705049,0.867695
2026/06/10 - 2026/06/11,'5839469466902639692',19.05354,72.83094,594944.12,534547.6,60396.52,12517.17,663.61,820965.23,13950.39,12.223799,0.648057
2026/06/10 - 2026/06/11,'5869042986827619702',19.11633,72.82108,480462.42,442327.51,38134.91,9322.8,1614.71,752146.13,69749.98,9.104297,1.576865
2026/05/27 - 2026/05/28,'5825848359743857676',19.07329,72.80802,602431.48,539084.85,63346.63,4876.13,682.0,702766.79,37411.56,4.761846,0.666016
2026/06/03 - 2026/06/04,'5825848359743857676',19.07329,72.80802,70374.47,62733.45,7641.02,11567.53,803.21,590246.55,27977.68,11.296416,0.784385
2026/05/27 - 2026/05/28,'5878529227354411196',19.03928,72.85253,121320.81,111326.9,9993.91,3594.06,385.53,136818.21,11644.41,3.509824,0.376494
2026/06/10 - 2026/06/11,'5836034034991993802',19.02056,72.83955,531934.09,474646.67,57287.42,16138.67,841.23,342829.46,38518.53,15.76042,0.821514
2026/06/03 - 2026/06/04,'5866642117629150172',19.0932,72.84335,256869.96,227751.77,29118.19,6869.44,809.26,762342.33,10401.87,6.708437,0.790293
2026/06/10 - 2026/06/11,'5817559949759623258',19.08091,72.87173,144259.64,129389.07,14870.57,11213.54,1097.89,1593469.99,40764.08,10.950723,1.072158
2026/06/24 - 2026/06/25,'5830295924558305991',19.03886,72.8347,402285.54,359775.5,42510.04,3778.99,1707.62,369572.64,84255.2,3.69042,1.667598
2026/06/17 - 2026/06/18,'5833424509250876965',19.03926,72.88412,389330.42,350502.0,38828.42,10217.99,1416.2,557642.66,15051.32,9.978506,1.383008
2026/06/17 - 2026/06/18,'5847962294469648007',19.02479,72.8933,80640.19,72077.77,8562.42,15940.46,929.13,1866343.77,49358.11,15.566855,0.907354
2026/05/27 - 2026/05/28,'5839469466902639692',19.05354,72.83094,215393.48,199089.18,16304.3,636.09,853.67,21420.94,41645.86,0.621182,0.833662
2026/06/17 - 2026/06/18,'5878529227354411196',19.03928,72.85253,292896.45,267747.01,25149.44,8771.31,305.6,867593.92,17406.77,8.565732,0.298438
2026/06/17 - 2026/06/18,'5866642117629150172',19.0932,72.84335,573344.78,535203.5,38141.28,4757.07,1759.91,549184.87,83897.55,4.645576,1.718662
2026/06/24 - 2026/06/25,'5876452803262022407',19.07554,72.89012,77799.15,71610.45,6188.7,19270.58,578.97,415377.93,9614.54,18.818926,0.5654
2026/06/24 - 2026/06/25,'5867896290075989956',19.09615,72.88138,521130.75,482312.9,38817.85,12909.85,1525.64,604674.72,44377.73,12.607275,1.489883
2026/06/17 - 2026/06/18,'5873040253140234351',19.0967,72.85136,120578.32,110983.12,9595.2,18541.36,631.48,2019808.77,30892.78,18.106797,0.61668
2026/06/24 - 2026/06/25,'5861481443250368354',19.05337,72.80125,572865.34,532989.71,39875.63,10242.54,1597.55,220398.65,24674.3,10.00248,1.560107
2026/06/03 - 2026/06/04,'5853220087925439651',19.08515,72.82525,90243.99,80312.27,9931.72,14345.18,1683.48,1035697.65,61814.7,14.008965,1.644023
2026/06/03 - 2026/06/04,'5836034034991993802',19.02056,72.83955,58695.72,54811.02,3884.7,1592.48,634.1,213439.57,21706.09,1.555156,0.619238
2026/06/24 - 2026/06/25,'5873040253140234351',19.0967,72.85136,432850.77,385646.09,47204.68,14535.85,768.12,1587501.94,38451.74,14.195166,0.750117
2026/06/03 - 2026/06/04,'5817559949759623258',19.08091,72.87173,616445.89,561627.44,54818.45,19558.98,1658.73,749267.58,29806.2,19.100566,1.619854
2026/06/03 - 2026/06/04,'5867896290075989956',19.09615,72.88138,462525.04,414265.69,48259.35,15627.57,1075.03,693083.46,19605.7,15.261299,1.049834
2026/06/17 - 2026/06/18,'5867896290075989956',19.09615,72.88138,366453.29,335191.3,31261.99,12614.89,1453.76,302377.39,55933.75,12.319229,1.419687
2026/06/10 - 2026/06/11,'5857090836881594646',19.03647,72.87539,484946.33,441096.97,43849.36,10519.79,1538.39,1152775.69,89021.83,10.273232,1.502334
2026/06/24 - 2026/06/25,'5885590811560109431',19.08212,72.86508,197993.98,183478.72,14515.26,11870.39,1071.34,904196.27,33016.67,11.592178,1.04623
2026/06/03 - 2026/06/04,'5869042986827619702',19.11633,72.82108,204914.24,187323.37,17590.87,10720.43,1785.2,1573487.14,69391.44,10.46917,1.743359
2026/06/03 - 2026/06/04,'5865867791705633753',19.03266,72.8554,471185.4,428207.42,42977.98,2559.67,1892.63,317865.57,90385.63,2.499678,1.848271
2026/06/10 - 2026/06/11,'5876452803262022407',19.07554,72.89012,252529.72,233516.07,19013.65,12966.53,603.52,1616915.06,8634.35,12.662627,0.589375
2026/06/24 - 2026/06/25,'5857090836881594646',19.03647,72.87539,610068.51,549765.71,60302.8,11537.24,765.77,867425.39,9507.83,11.266836,0.747822
2026/06/10 - 2026/06/11,'5846635575321284606',19.03472,72.8676,227657.17,209126.28,18530.89,18918.72,398.19,1403058.93,12575.14,18.475313,0.388857
2026/06/10 - 2026/06/11,'5867896290075989956',19.09615,72.88138,250482.19,229426.78,21055.41,13547.95,929.61,557061.62,14066.52,13.23042,0.907822
2026/05/27 - 2026/05/28,'5858814019546630566',19.07282,72.83433,166440.15,151555.04,14885.11,1882.69,1293.53,276070.54,65473.76,1.838564,1.263213
2026/06/17 - 2026/06/18,'5830295924558305991',19.03886,72.8347,564487.99,520394.2,44093.79,12952.23,965.33,1856687.99,33594.06,12.648662,0.942705
2026/05/27 - 2026/05/28,'5864057466923164664',19.03604,72.86485,416334.88,380596.81,35738.07,18344.8,680.79,143026.74,18605.45,17.914844,0.664834
2026/06/03 - 2026/06/04,'5847962294469648007',19.02479,72.8933,384720.89,347225.55,37495.34,15042.3,372.12,2083474.22,11067.43,14.689746,0.363398
2026/06/17 - 2026/06/18,'5865867791705633753',19.03266,72.8554,62051.36,57767.67,4283.69,9383.61,491.26,892185.38,25237.59,9.163682,0.479746
2026/06/24 - 2026/06/25,'5839469466902639692',19.05354,72.83094,461253.17,408783.88,52469.29,5401.78,833.21,731684.68,13508.86,5.275176,0.813682
2026/06/10 - 2026/06/11,'5866642117629150172',19.0932,72.84335,117234.39,109253.75,7980.64,2246.81,1654.01,300836.84,67393.67,2.19415,1.615244
2026/06/03 - 2026/06/04,'5839469466902639692',19.05354,72.83094,643234.95,572110.44,71124.51,19550.22,649.07,1259288.85,11868.42,19.092012,0.633857
2026/06/24 - 2026/06/25,'5833424509250876965',19.03926,72.88412,276054.01,247554.28,28499.73,11980.99,1894.74,740107.75,23310.92,11.700186,1.850332
2026/06/10 - 2026/06/11,'5865867791705633753',19.03266,72.8554,584114.78,536740.37,47374.41,6795.81,810.56,219657.15,21232.76,6.636533,0.791562
2026/06/24 - 2026/06/25,'5853220087925439651',19.08515,72.82525,602830.81,562706.53,40124.28,11783.25,382.65,385674.22,3831.61,11.50708,0.373682
2026/06/10 - 2026/06/11,'5825848359743857676',19.07329,72.80802,605243.91,560147.07,45096.84,15291.5,1745.19,725196.62,53622.4,14.933105,1.704287
2026/06/03 - 2026/06/04,'5857090836881594646',19.03647,72.87539,566647.62,506983.97,59663.65,17051.39,1989.38,772083.76,65831.88,16.651748,1.942754
2026/05/27 - 2026/05/28,'5833424509250876965',19.03926,72.88412,130232.09,117521.17,12710.92,9314.87,1788.47,154857.08,27107.4,9.096553,1.746553
2026/05/27 - 2026/05/28,'5846635575321284606',19.03472,72.8676,359315.72,319747.32,39568.4,16141.53,1694.89,460357.57,26417.95,15.763213,1.655166
2026/05/27 - 2026/05/28,'5857090836881594646',19.03647,72.87539,132146.21,118343.3,13802.91,13119.22,396.21,1070661.92,16774.05,12.811738,0.386924
2026/06/03 - 2026/06/04,'5858814019546630566',19.07282,72.83433,337369.79,302759.71,34610.08,16899.78,571.05,1327375.56,31821.97,16.503691,0.557666
2026/06/24 - 2026/06/25,'5846635575321284606',19.03472,72.8676,382668.9,353143.03,29525.87,8293.36,1469.63,1106763.49,42351.87,8.098984,1.435186
2026/06/03 - 2026/06/04,'5864057466923164664',19.03604,72.86485,79796.88,71472.59,8324.29,6777.83,1000.8,891595.85,26279.43,6.618975,0.977344
2026/05/27 - 2026/05/28,'5836034034991993802',19.02056,72.83955,270366.29,239840.45,30525.84,1697.29,1067.89,226873.73,33440.69,1.65751,1.042861
2026/05/27 - 2026/05/28,'5847962294469648007',19.02479,72.8933,61049.04,56382.38,4666.66,6354.74,484.45,498774.29,5497.64,6.205801,0.473096
2026/06/03 - 2026/06/04,'5833424509250876965',19.03926,72.88412,432255.39,397388.38,34867.01,13589.26,668.3,1336137.05,24278.45,13.270762,0.652637
2026/06/24 - 2026/06/25,'5865867791705633753',19.03266,72.8554,262931.61,244475.33,18456.28,11081.37,339.02,1046688.33,8892.79,10.82165,0.331074
2026/05/27 - 2026/05/28,'5867896290075989956',19.09615,72.88138,326129.65,296208.25,29921.4,17355.46,816.47,281836.33,48189.66,16.948691,0.797334
2026/06/24 - 2026/06/25,'5817559949759623258',19.08091,72.87173,330798.55,300055.04,30743.51,8359.37,855.27,302985.39,23337.61,8.163447,0.835225
2026/05/27 - 2026/05/28,'5885590811560109431',19.08212,72.86508,243470.17,221571.41,21898.76,2281.19,1596.62,65969.9,52308.47,2.227725,1.559199
2026/05/27 - 2026/05/28,'5869042986827619702',19.11633,72.82108,398089.29,360667.69,37421.6,11945.09,808.82,448571.24,16606.9,11.665127,0.789863
2026/05/27 - 2026/05/28,'5866642117629150172',19.0932,72.84335,586552.87,524702.13,61850.74,1274.77,1135.63,71639.23,14730.38,1.244893,1.109014
2026/06/24 - 2026/06/25,'5836034034991993802',19.02056,72.83955,346817.67,321774.62,25043.05,16309.41,1506.19,922706.36,82498.06,15.927158,1.470889
2026/06/10 - 2026/06/11,'5873040253140234351',19.0967,72.85136,588564.67,545771.79,42792.88,18700.16,1697.96,2269366.88,93427.17,18.261875,1.658164
2026/06/24 - 2026/06/25,'5869042986827619702',19.11633,72.82108,348363.72,316437.14,31926.58,18268.66,1704.69,620038.19,27054.11,17.840488,1.664736
2026/05/27 - 2026/05/28,'5861481443250368354',19.05337,72.80125,331614.56,299733.92,31880.64,16735.43,1674.44,1791992.5,35789.52,16.343193,1.635195
2026/06/17 - 2026/06/18,'5857090836881594646',19.03647,72.87539,69801.05,64096.37,5704.68,15227.92,1470.02,1811549.76,36648.66,14.871016,1.435566
2026/05/27 - 2026/05/28,'5817559949759623258',19.08091,72.87173,55305.04,50553.01,4752.03,7375.91,436.44,635822.62,5629.23,7.203037,0.426211
2026/06/24 - 2026/06/25,'5847962294469648007',19.02479,72.8933,230036.41,212223.31,17813.1,6923.0,1477.42,616895.15,88329.76,6.760742,1.442793
2026/05/27 - 2026/05/28,'5865867791705633753',19.03266,72.8554,239269.4,215583.2,23686.2,12633.5,1392.65,1042366.77,83139.35,12.337402,1.36001
